trail_name,trail_url,region,length,elevation_gain,highest_point,rating,comment_date,comment_author,comment_text,label,apparent_temperature,snow_depth,snowfall,us_aqi,weather_code,wind_gusts_10m_max,precipitation_probability_max,date_hiked,trail_conditions,road_conditions,snow,bugs
Mount Si,https://www.wta.org/go-hiking/hikes/mount-si,Snoqualmie Region > North Bend Area,"8.0 miles, roundtrip","3,150 feet","3,900 feet",4 out of 5 stars,"Mount Si — January 24, 2025",CascadeCrest2024,Trail has some patchy snow starting around mile 2.5 near the ridgeline. Lower portions are clear and dry. Microspikes helpful but not required if you're careful. Beautiful conditions overall with just a hint of winter lingering.,modest_conditions,37,16,8,39,61,18,27,2025-01-24,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",3 out of 5 stars,"Ingalls Lake — March 30, 2026",SnoqualmieSusan,"Conditions are 'mostly hikeable' with the right gear. Trail is clear from TH to the creek. After the creek there are intermittent snow patches, becoming continuous above 4,500 feet. Go prepared with traction devices.",modest_conditions,50,18,7,12,51,24,31,2026-03-30,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",5 out of 5 stars,"Chain Lakes Loop — January 30, 2026",CascadeWanderer,Road to TH is open and in good condition. Trail is snow-free all the way. Some light mud near the stream crossings. We did the full loop and encountered maybe 8-10 other groups. A gem of a hike!,hikeable,33,0,0,8,2,11,13,2026-01-30,Mud on trail,Road suitable for all vehicles,Snow free,No bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",3 out of 5 stars,"Lake Ann — March 17, 2026",AlpineAdventurer,"Hiked this yesterday. Conditions were mixed — lower trail is perfect, but there's a continuous snow band from about the junction to the summit. Maybe 6-8 inches. Microspikes were needed. Road was open.",modest_conditions,39,16,1,23,1,21,34,2026-03-17,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",4 out of 5 stars,"Goat Lake — December 9, 2024",SnowpackSam,Some snow on the upper reaches of the trail above mile 3. The lower trail is easy going. Bring microspikes just in case. Trail is well-marked even under shallow snow. Gorgeous views from the high point.,modest_conditions,27,16,0,49,51,22,60,2024-12-09,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",4 out of 5 stars,"Ingalls Lake — June 2, 2025",FernGullyHiker,Road to TH is open and in good condition. Trail is snow-free all the way. Some light mud near the stream crossings. We did the full loop and encountered maybe 8-10 other groups. A gem of a hike!,hikeable,74,0,0,23,2,17,20,2025-06-02,Mud on trail,Road suitable for all vehicles,Snow free,Some bugs
Mount Si,https://www.wta.org/go-hiking/hikes/mount-si,Snoqualmie Region > North Bend Area,"8.0 miles, roundtrip","3,150 feet","3,900 feet",4 out of 5 stars,"Mount Si — November 19, 2024",MossyBoots42,"Did this hike on a clear sunny weekday. Trail was dry and in excellent condition, no snow whatsoever. Met a trail crew doing some maintenance near mile 3 — give them a wave! Spectacular scenery all the way.",hikeable,66,0,0,17,1,16,7,2024-11-19,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",4 out of 5 stars,"Goat Lake — November 30, 2024",WeekendWarriorWendy,Some lingering snow on the upper sections. Most of the lower trail is ice-free. There's one tricky icy traverse near the summit block — caution advised without microspikes. Otherwise perfectly enjoyable.,modest_conditions,42,12,8,26,51,23,55,2024-11-30,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",3 out of 5 stars,"Ingalls Lake — April 24, 2024",TrailBlazerPNW,The first 3 miles are completely clear and dry. After the switchbacks the trail picks up some snow coverage (maybe a foot in spots). We were glad to have microspikes. Spectacular scenery though — worth it!,modest_conditions,46,18,1,16,63,30,51,2024-04-24,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Maple Pass Loop,https://www.wta.org/go-hiking/hikes/maple-pass-loop,North Cascades > Methow Valley,"7.0 miles, roundtrip","2,000 feet","6,800 feet",5 out of 5 stars,"Maple Pass Loop — July 7, 2025",PNWPeakBagger,Just got back from a wonderful day out here. Trail is completely clear of snow. Wildflowers are starting to come up near the upper meadows. Bring plenty of water as there are limited reliable sources right now.,hikeable,54,0,0,5,0,20,10,2025-07-07,Trail clear - no snow,Road suitable for all vehicles,Snow free,Some bugs
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,3 out of 5 stars,"Twin Falls — April 1, 2026",TrailConditionsTed,"Conditions are 'mostly hikeable' with the right gear. Trail is clear from TH to the creek. After the creek there are intermittent snow patches, becoming continuous above 4,500 feet. Go prepared with traction devices.",modest_conditions,57,18,7,42,63,11,40,2026-04-01,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",,"Heliotrope Ridge — January 18, 2026",TrailConditionsTed,Full snowpack from TH onwards. This trail is NOT currently hikeable without mountaineering gear. The approach was post-hole hell. We gave up at the first major viewpoint and descended safely. Check back in July.,not_hikeable,15,42,10,20,86,28,68,2026-01-18,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,No bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",5 out of 5 stars,"Goat Lake — September 3, 2024",MossyBoots42,Just got back from a wonderful day out here. Trail is completely clear of snow. Wildflowers are starting to come up near the upper meadows. Bring plenty of water as there are limited reliable sources right now.,hikeable,43,0,0,13,1,15,4,2024-09-03,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",3 out of 5 stars,"Goat Lake — September 17, 2025",HikingWithHuskies,Road to TH had some ice this morning but nothing that required chains. Trail is clear for the first 2 miles then snow picks up. Microspikes were helpful on the steeper portions. Plan for extra time if hiking in snow.,modest_conditions,38,0,0,29,51,22,49,2025-09-17,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",3 out of 5 stars,"Goat Lake — February 2, 2025",TrailConditionsTed,Trail has some patchy snow starting around mile 2.5 near the ridgeline. Lower portions are clear and dry. Microspikes helpful but not required if you're careful. Beautiful conditions overall with just a hint of winter lingering.,modest_conditions,23,17,0,45,1,17,37,2025-02-02,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",4 out of 5 stars,"Mount Pilchuck — February 12, 2024",RainierRoamer,"Nice hike but definitely late season snow conditions. The first mile is totally dry, but after the first switchback set you start hitting snow. We had microspikes and it was fine, but I'd call these 'moderate winter conditions' overall.",modest_conditions,24,22,10,41,63,13,36,2024-02-12,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",1 out of 5 stars,"Heliotrope Ridge — December 14, 2024",WeekendWarriorWendy,Do NOT attempt this hike right now. The upper mountain is buried under 5+ feet of snow. The TH road has a gate closure due to avalanche risk. We had to turn back 200 feet from the TH. Wait for summer conditions.,not_hikeable,18,43,11,37,73,48,73,2024-12-14,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,No bugs
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",5 out of 5 stars,"Franklin Falls — February 12, 2025",ClearCreekHiker,"Gorgeous hike today with friends. Dry trail from start to finish. No road closures, parking fee station was staffed. We hiked the full route including the off-trail scramble to the viewpoint. No issues at all.",hikeable,52,0,0,10,0,9,10,2025-02-12,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",3 out of 5 stars,"Ingalls Lake — January 13, 2025",MossyBoots42,The first 3 miles are completely clear and dry. After the switchbacks the trail picks up some snow coverage (maybe a foot in spots). We were glad to have microspikes. Spectacular scenery though — worth it!,modest_conditions,40,5,3,24,51,16,52,2025-01-13,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Annette Lake,https://www.wta.org/go-hiking/hikes/annette-lake,Snoqualmie Region > Snoqualmie Pass,"7.5 miles, roundtrip","1,300 feet","3,600 feet",4 out of 5 stars,"Annette Lake — June 5, 2024",FernGullyHiker,Logged trail conditions as of this morning: snow-free from TH to summit. The trail is dry and well-packed. Trekking poles are helpful on the descent but not required. One log across the trail at mile 2 — easily stepped over.,hikeable,72,0,0,18,0,7,18,2024-06-05,Trail clear - no snow,Road suitable for all vehicles,Snow free,Some bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",4 out of 5 stars,"Lake Ann — August 8, 2024",RainierRoamer,"Hiked this today with my family including two young kids. Trail was in perfect condition — dry, well-signed, and clear. We saw a black bear near the upper switchbacks but it ran off immediately. No hazards to report.",hikeable,61,0,0,29,2,17,12,2024-08-08,Trail clear - no snow,Road suitable for all vehicles,Snow free,Some bugs
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",5 out of 5 stars,"Franklin Falls — October 25, 2025",WildflowerWatcher,Logged trail conditions as of this morning: snow-free from TH to summit. The trail is dry and well-packed. Trekking poles are helpful on the descent but not required. One log across the trail at mile 2 — easily stepped over.,hikeable,54,0,0,26,1,10,22,2025-10-25,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",3 out of 5 stars,"Wallace Falls — October 17, 2024",SummitSeeker_WA,The road is open all the way to the TH. First two miles are clear. Snow starts around mile 2 and gets deeper toward the summit (18-24 inches by the top). Postholing without microspikes. Conditions manageable with proper gear.,modest_conditions,42,5,0,40,2,29,20,2024-10-17,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",5 out of 5 stars,"Lake Ann — March 24, 2025",AlpineAdventurer,"Hiked with my dog off-leash in a few spots — other hikers were friendly and the trail was empty enough to enjoy. Completely snow-free, nice and dry. Would definitely come back next weekend.",hikeable,52,0,0,26,0,17,18,2025-03-24,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",5 out of 5 stars,"Ptarmigan Ridge — May 22, 2024",SnowpackSam,"Did this hike on a clear sunny weekday. Trail was dry and in excellent condition, no snow whatsoever. Met a trail crew doing some maintenance near mile 3 — give them a wave! Spectacular scenery all the way.",hikeable,41,0,0,21,0,6,15,2024-05-22,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",5 out of 5 stars,"Goat Lake — May 15, 2024",SnoqualmieSusan,"No issues to report! Trail is dry and clear all the way through. Encountered a few runners which is a bit frustrating on a narrow trail but overall a great experience. No snow, no road closures.",hikeable,42,0,0,8,1,13,10,2024-05-15,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",4 out of 5 stars,"Ingalls Lake — June 16, 2024",PugetSoundTrails,All clear from bottom to top. Saw maybe 20 other hikers which felt manageable. Trailhead has a pit toilet that was clean and stocked. Trail surface is firm and dry. Don't forget sunscreen — it gets hot in the open sections.,hikeable,79,0,0,30,0,10,19,2024-06-16,Trail clear - no snow,Road suitable for all vehicles,Snow free,Some bugs
Maple Pass Loop,https://www.wta.org/go-hiking/hikes/maple-pass-loop,North Cascades > Methow Valley,"7.0 miles, roundtrip","2,000 feet","6,800 feet",4 out of 5 stars,"Maple Pass Loop — September 2, 2025",CascadeWanderer,"Nice hike but definitely late season snow conditions. The first mile is totally dry, but after the first switchback set you start hitting snow. We had microspikes and it was fine, but I'd call these 'moderate winter conditions' overall.",modest_conditions,41,0,0,42,51,27,22,2025-09-02,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",2 out of 5 stars,"Lake Ann — August 18, 2025",WildflowerWatcher,"Not hikeable right now. Road is impassable due to a rockslide. Even with clear roads, the trail is completely under snow from bottom to top. We could see from a distance — no exposed trail anywhere. Wait for late summer.",not_hikeable,51,3,0,30,86,39,87,2025-08-18,"Heavy snow, trail buried",Road impassable/closed,Continuous snow cover,Some bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",1 out of 5 stars,"Lake Ann — March 24, 2024",WildflowerWatcher,Not hikeable in current conditions. The upper trail is an avalanche zone right now — we could see recent avalanche debris on the hillside across the valley. Road is open but please don't attempt this trail.,not_hikeable,24,79,6,31,71,26,68,2024-03-24,Trail passable with caution,Road suitable for all vehicles,Snow free,No bugs
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",4 out of 5 stars,"Mount Pilchuck — February 3, 2025",TrailBlazerPNW,The trail is fully accessible and snow-free. The creek crossing at mile 1.5 is easily fordable with dry boots. Wildflowers in the meadow section were incredible. We'll definitely be back.,hikeable,37,0,0,18,0,19,23,2025-02-03,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",5 out of 5 stars,"Lake Ann — December 14, 2025",TrailConditionsTed,"No issues to report! Trail is dry and clear all the way through. Encountered a few runners which is a bit frustrating on a narrow trail but overall a great experience. No snow, no road closures.",hikeable,41,0,0,19,2,6,21,2025-12-14,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Maple Pass Loop,https://www.wta.org/go-hiking/hikes/maple-pass-loop,North Cascades > Methow Valley,"7.0 miles, roundtrip","2,000 feet","6,800 feet",4 out of 5 stars,"Maple Pass Loop — January 15, 2026",NorthCascadesNick,"Hiked this today with my family including two young kids. Trail was in perfect condition — dry, well-signed, and clear. We saw a black bear near the upper switchbacks but it ran off immediately. No hazards to report.",hikeable,38,0,0,14,1,6,10,2026-01-15,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",4 out of 5 stars,"Ptarmigan Ridge — June 14, 2025",LakesAndPeaks,"The lower trail is completely clear. Snow starts appearing around 4,000 feet elevation. A few icy patches on shaded north-facing slopes but nothing serious. Trekking poles and microspikes recommended for the upper section.",modest_conditions,55,0,0,34,1,21,41,2025-06-14,Snow on trail,Road suitable for all vehicles,Patchy snow,Some bugs
Mailbox Peak,https://www.wta.org/go-hiking/hikes/mailbox-peak-new-trail,Snoqualmie Region > North Bend Area,"9.4 miles, roundtrip","4,000 feet","4,831 feet",5 out of 5 stars,"Mailbox Peak — June 10, 2024",BackcountryBridget,"I was nervous about conditions given recent weather but the trail was perfect. Completely clear, great traction even without poles. The logging road to the TH has some potholes but is passable in a regular car.",hikeable,74,0,0,19,2,15,4,2024-06-10,Trail clear - no snow,Road suitable for high clearance,Snow free,Some bugs
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",4 out of 5 stars,"Heliotrope Ridge — April 24, 2024",TrailBlazerPNW,"Hiked with my dog off-leash in a few spots — other hikers were friendly and the trail was empty enough to enjoy. Completely snow-free, nice and dry. Would definitely come back next weekend.",hikeable,36,0,0,23,2,14,25,2024-04-24,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Annette Lake,https://www.wta.org/go-hiking/hikes/annette-lake,Snoqualmie Region > Snoqualmie Pass,"7.5 miles, roundtrip","1,300 feet","3,600 feet",3 out of 5 stars,"Annette Lake — August 30, 2024",RainierRoamer,Road is open but the last 0.5 mile to TH was icy this morning. Trail itself alternates between clear and snowy sections. Above the lake everything was under a thin crust. Bring traction devices.,modest_conditions,76,0,0,14,51,30,59,2024-08-30,Snow on trail,Road suitable for all vehicles,Patchy snow,Some bugs
Annette Lake,https://www.wta.org/go-hiking/hikes/annette-lake,Snoqualmie Region > Snoqualmie Pass,"7.5 miles, roundtrip","1,300 feet","3,600 feet",5 out of 5 stars,"Annette Lake — March 3, 2024",SnoqualmieSusan,Just returned. Trail conditions: excellent. Zero snow. A few muddy sections after last week's rain but nothing requiring special footwear. The wildflowers were absolutely popping near the ridgeline.,hikeable,58,0,0,17,0,10,7,2024-03-03,Mud on trail,Road suitable for all vehicles,Snow free,No bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",5 out of 5 stars,"Lake Ann — December 5, 2025",PNWPeakBagger,"The trail is in the best shape I've seen in years. Completely dry, well-maintained, no blowdowns. Parking area was busy but we found a spot quickly. The views of the Cascades were crystal clear from the top.",hikeable,37,0,0,5,1,10,11,2025-12-05,Obstacles on trail: Trees down,Road suitable for all vehicles,Snow free,No bugs
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",4 out of 5 stars,"Heliotrope Ridge — October 6, 2024",PugetSoundTrails,Decent conditions with some caveats. Bottom third of the trail is snow-free. Middle third has some patches and requires careful footing. Top third is covered but packed down from other hikers. Microspikes helpful.,modest_conditions,44,27,0,35,53,20,51,2024-10-06,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",4 out of 5 stars,"Chain Lakes Loop — November 19, 2025",PugetSoundTrails,"Conditions are 'mostly hikeable' with the right gear. Trail is clear from TH to the creek. After the creek there are intermittent snow patches, becoming continuous above 4,500 feet. Go prepared with traction devices.",modest_conditions,40,15,0,17,1,24,42,2025-11-19,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",5 out of 5 stars,"Heliotrope Ridge — February 14, 2025",FernGullyHiker,Logged trail conditions as of this morning: snow-free from TH to summit. The trail is dry and well-packed. Trekking poles are helpful on the descent but not required. One log across the trail at mile 2 — easily stepped over.,hikeable,33,0,0,17,1,17,25,2025-02-14,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,5 out of 5 stars,"Twin Falls — March 22, 2024",ClearCreekHiker,"Hiked this today with my family including two young kids. Trail was in perfect condition — dry, well-signed, and clear. We saw a black bear near the upper switchbacks but it ran off immediately. No hazards to report.",hikeable,50,0,0,22,1,7,25,2024-03-22,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,5 out of 5 stars,"Twin Falls — March 8, 2025",WildflowerWatcher,Just got back from a wonderful day out here. Trail is completely clear of snow. Wildflowers are starting to come up near the upper meadows. Bring plenty of water as there are limited reliable sources right now.,hikeable,54,0,0,12,1,10,19,2025-03-08,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",5 out of 5 stars,"Ingalls Lake — January 22, 2025",CascadeWanderer,"Hiked with my dog off-leash in a few spots — other hikers were friendly and the trail was empty enough to enjoy. Completely snow-free, nice and dry. Would definitely come back next weekend.",hikeable,51,0,0,10,1,7,16,2025-01-22,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",5 out of 5 stars,"Mount Pilchuck — January 16, 2026",WeekendWarriorWendy,"Hiked this today with my family including two young kids. Trail was in perfect condition — dry, well-signed, and clear. We saw a black bear near the upper switchbacks but it ran off immediately. No hazards to report.",hikeable,28,0,0,26,1,7,22,2026-01-16,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Sahale Arm,https://www.wta.org/go-hiking/hikes/sahale-arm,North Cascades > Cascade Pass,"12.0 miles, roundtrip","3,900 feet","7,600 feet",4 out of 5 stars,"Sahale Arm — February 10, 2026",ClearCreekHiker,Trail is passable but not summer conditions. There's 1-2 feet of snow from the upper meadows to the top. Microspikes essential. The lower forest section is completely clear and pleasant. A gorgeous but demanding hike right now.,modest_conditions,28,15,4,12,53,20,60,2026-02-10,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",5 out of 5 stars,"Goat Lake — May 22, 2024",PugetSoundTrails,"Hiked this today with my family including two young kids. Trail was in perfect condition — dry, well-signed, and clear. We saw a black bear near the upper switchbacks but it ran off immediately. No hazards to report.",hikeable,48,0,0,17,0,11,1,2024-05-22,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",2 out of 5 stars,"Chain Lakes Loop — March 2, 2026",LakesAndPeaks,Completely impassable. The entire route was under 3-4 feet of snow from mile 0.5 onward. No trail visible. We postholed up to our hips. Strong wind and limited visibility at the upper elevations. Turned back for safety.,not_hikeable,22,73,27,25,85,33,81,2026-03-02,"Heavy snow, trail buried",Road impassable/closed,Continuous snow cover,No bugs
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",5 out of 5 stars,"Chain Lakes Loop — March 11, 2024",HikingWithHuskies,Road to TH is open and in good condition. Trail is snow-free all the way. Some light mud near the stream crossings. We did the full loop and encountered maybe 8-10 other groups. A gem of a hike!,hikeable,42,0,0,13,2,15,21,2024-03-11,Mud on trail,Road suitable for all vehicles,Snow free,No bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",,"Lake Ann — February 25, 2024",MossyBoots42,Total closure. The county has closed the forest service road due to flooding and rockfall. Even if you could get to the TH the trail is completely under snow. Multiple party turned back when we were there.,not_hikeable,12,23,11,25,85,34,70,2024-02-25,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,No bugs
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",3 out of 5 stars,"Wallace Falls — December 28, 2024",CascadeWanderer,Trail is passable but not summer conditions. There's 1-2 feet of snow from the upper meadows to the top. Microspikes essential. The lower forest section is completely clear and pleasant. A gorgeous but demanding hike right now.,modest_conditions,45,11,10,44,1,30,54,2024-12-28,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",5 out of 5 stars,"Lake Ann — January 12, 2024",SnoqualmieSusan,"Hiked this today with my family including two young kids. Trail was in perfect condition — dry, well-signed, and clear. We saw a black bear near the upper switchbacks but it ran off immediately. No hazards to report.",hikeable,34,0,0,14,1,20,3,2024-01-12,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",3 out of 5 stars,"Lake Ann — September 15, 2024",TrailConditionsTed,Decent conditions with some caveats. Bottom third of the trail is snow-free. Middle third has some patches and requires careful footing. Top third is covered but packed down from other hikers. Microspikes helpful.,modest_conditions,40,0,0,40,63,29,41,2024-09-15,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,2 out of 5 stars,"Twin Falls — January 24, 2025",BackcountryBridget,Conditions are dangerous and the trail should not be attempted. The access road has a major washout 1.5 miles from TH. The trail itself is buried under avalanche debris from a slide earlier this week. Please stay safe.,not_hikeable,25,64,20,38,71,35,100,2025-01-24,Trail passable with caution,Road suitable for all vehicles,Snow free,No bugs
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",3 out of 5 stars,"Wallace Falls — March 10, 2026",SummitSeeker_WA,"The lower trail is completely clear. Snow starts appearing around 4,000 feet elevation. A few icy patches on shaded north-facing slopes but nothing serious. Trekking poles and microspikes recommended for the upper section.",modest_conditions,55,21,2,48,61,21,58,2026-03-10,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
